,index,x,y,x_start,y_start,x_end,y_end,length,start_node,end_node,speed_limit,adjusted_length
123,S1,0.228,-4.296,0.23,-4.3,1.86,-4.3,1.63,91,0,30,0.05433333317438761
124,S2,1.858,-4.136,1.86,-4.15,0.23,-4.14,1.63,92,8,30,0.05433333317438761
125,S3,-0.232,-4.296,-0.23,-4.3,0.23,-4.3,0.46,2,91,30,0.015333333611488342
126,S4,0.228,-4.136,0.23,-4.14,-0.23,-4.14,0.46,8,94,30,0.015333333611488342
127,S5,-1.802,-4.296,-1.8,-4.3,-0.23,-4.3,1.57,93,2,30,0.052333335081736244
128,S6,-0.232,-4.136,-0.23,-4.14,-1.8,-4.14,1.57,94,95,30,0.052333335081736244
129,S7,-2.262,-4.296,-2.26,-4.3,-1.8,-4.3,0.46,4,93,30,0.015333333611488342
130,S8,-1.802,-4.136,-1.8,-4.14,-2.26,-4.14,0.46,95,6,30,0.015333333611488342
131,S9,-2.112,-3.606,-2.11,-3.61,-2.11,-3.99,0.38,96,3,30,0.012666666507720947
132,S10,-1.952,-3.986,-1.96,-3.99,-1.95,-3.61,0.38,7,17,30,0.012666666507720947
133,S11,-1.952,-3.606,-1.95,-3.61,-1.95,-3.15,0.46,17,111,30,0.015333333611488342
134,S12,-2.112,-3.146,-2.11,-3.16,-2.11,-3.61,0.46,18,96,30,0.015333333611488342
135,S13,-1.802,-3.456,-1.8,-3.45,-0.23,-3.46,1.57,97,15,30,0.052333335081736244
136,S141,-0.232,-3.296,-0.23,-3.31,-0.91,-3.3,0.68,98,84,30,0.022666666905085245
137,S142,-0.91,-3.296,-0.91,-3.3,-1.37,-3.3,0.46,84,99,30,0.015333333611488342
138,S143,-1.37,-3.296,-1.37,-3.3,-1.8,-3.3,0.43,99,16,30,0.014333333571751912
139,S15,-0.072,-3.606,-0.07,-3.61,-0.07,-3.99,0.38,100,1,30,0.012666666507720947
140,S16,0.078,-3.986,0.08,-3.99,0.08,-3.61,0.38,101,14,30,0.012666666507720947
141,S17,-0.072,-3.146,-0.07,-3.14,-0.07,-3.61,0.46,19,100,30,0.015333333611488342
142,S18,0.078,-3.606,0.08,-3.61,0.08,-3.15,0.46,14,107,30,0.015333333611488342
143,S19,0.228,-3.306,0.18,-3.31,-0.23,-3.31,0.46,13,98,30,0.015333333611488342
144,S20,-0.232,-3.456,-0.23,-3.46,0.23,-3.46,0.46,15,102,30,0.015333333611488342
145,S21,0.228,-3.456,0.23,-3.46,2.16,-3.46,1.93,102,10,30,0.06433333158493042
146,S22 ,0.938,-3.306,0.94,-3.31,0.18,-3.31,0.76,103,13,30,0.025333333015441894
147,S23,2.158,-3.306,2.16,-3.3,0.94,-3.31,1.22,104,103,30,0.040666667620340984
148,S26,2.468,-3.606,2.47,-3.69,2.47,-3.15,0.46,83,105,30,0.015333333611488342
149,S27,2.308,-3.146,2.31,-3.15,2.31,-3.61,0.46,11,9,30,0.015333333611488342
150,S28,2.468,-3.146,2.47,-3.15,2.47,-2.61,0.54,105,23,30,0.01800000071525574
151,S29,2.308,-2.606,2.31,-2.6,2.31,-3.15,0.54,106,11,30,0.01800000071525574
152,S30,0.078,-3.146,0.08,-3.15,0.08,-2.61,0.54,107,87,30,0.01800000071525574
153,S31,-0.072,-2.596,-0.07,-2.6,-0.07,-3.14,0.54,108,19,30,0.01800000071525574
154,S32,-1.062,-3.146,-1.06,-3.15,-1.06,-2.77,0.38,109,25,30,0.012666666507720947
155,S33,-1.222,-2.766,-1.21,-2.77,-1.22,-3.15,0.38,110,85,30,0.012666666507720947
156,S34,-1.952,-3.146,-1.95,-3.15,-1.95,-2.46,0.69,111,28,30,0.02299999992052714
157,S35,-2.112,-2.466,-2.11,-2.47,-2.11,-3.16,0.69,112,18,30,0.02299999992052714
158,S36,-2.722,-3.686,-2.72,-3.69,-2.72,-2.78,0.91,113,30,30,0.03033333420753479
159,S37,-2.872,-2.766,-2.87,-2.77,-2.87,-3.68,0.91,114,5,30,0.03033333420753479
160,S38,-2.112,-2.006,-2.11,-2.01,-2.11,-2.47,0.46,32,112,30,0.015333333611488342
161,S39,-1.802,-2.156,-1.81,-2.16,-2.26,-2.16,0.46,27,31,30,0.015333333611488342
162,S40,-1.952,-2.466,-1.95,-2.46,-1.95,-2.01,0.46,28,118,30,0.015333333611488342
163,S41,-2.262,-2.316,-2.26,-2.31,-1.8,-2.32,0.46,29,115,30,0.015333333611488342
164,S42,-1.802,-2.316,-1.8,-2.32,-1.66,-2.32,0.14,115,26,30,0.004666666686534882
165,S43,-1.672,-2.156,-1.67,-2.16,-1.81,-2.16,0.14,116,27,30,0.004666666686534882
166,S44,-2.112,-1.446,-2.11,-1.45,-2.11,-2.01,0.56,117,32,30,0.018666666746139527
167,S45,-1.952,-2.006,-1.95,-2.01,-1.95,-1.45,0.56,118,49,30,0.018666666746139527
168,S46,-0.232,-1.596,-0.23,-1.6,-0.23,-2.08,0.48,119,89,30,0.015999999642372132
169,S47,-0.072,-1.596,-0.07,-1.6,-0.07,-2.6,1.0,120,108,30,0.03333333333333333
170,S48,0.228,-2.086,0.23,-2.09,0.23,-1.61,0.48,121,42,30,0.015999999642372132
171,S49,0.078,-2.606,0.08,-2.61,0.08,-1.61,1.0,87,41,30,0.03333333333333333
172,S50,2.158,-1.596,2.16,-1.6,2.16,-2.08,0.48,122,21,30,0.015999999642372132
173,S51,2.308,-1.596,2.31,-1.6,2.31,-2.6,1.0,123,106,30,0.03333333333333333
174,S52,2.618,-2.086,2.61,-2.09,2.62,-1.61,0.48,124,34,30,0.015999999642372132
175,S53,2.468,-2.606,2.47,-2.61,2.47,-1.61,1.0,23,33,30,0.03333333333333333
176,S54,2.618,-1.596,2.62,-1.61,2.62,-0.84,0.76,34,141,30,0.025333333015441894
177,S55,2.468,-1.596,2.47,-1.61,2.47,-0.84,0.76,33,142,30,0.025333333015441894
178,S56,2.308,-0.836,2.31,-0.85,2.31,-1.6,0.76,37,123,30,0.025333333015441894
179,S57,2.158,-0.836,2.16,-0.85,2.16,-1.6,0.76,38,122,30,0.025333333015441894
180,S58,0.378,-1.296,0.38,-1.3,2.01,-1.3,1.63,125,36,30,0.05433333317438761
181,S59,0.378,-1.446,0.38,-1.45,2.01,-1.45,1.63,126,35,30,0.05433333317438761
182,S60,2.008,-1.146,2.01,-1.14,0.38,-1.15,1.63,127,40,30,0.05433333317438761
183,S611,2.008,-0.986,2.01,-0.99,1.17,-0.99,0.84,128,54,30,0.027999999125798543
184,S612,1.17,-0.986,1.17,-0.99,0.38,-0.99,0.79,54,39,30,0.02633333404858907
185,S62,-0.382,-1.296,-0.38,-1.3,0.38,-1.3,0.76,45,125,30,0.025333333015441894
186,S63,-0.382,-1.446,-0.37,-1.45,0.38,-1.45,0.76,46,126,30,0.025333333015441894
187,S64,0.078,-1.596,0.08,-1.61,0.08,-0.84,0.76,41,137,30,0.025333333015441894
188,S65,0.228,-1.596,0.23,-1.61,0.23,-0.84,0.76,42,136,30,0.025333333015441894
189,S66,-0.072,-0.836,-0.07,-0.84,-0.07,-1.6,0.76,43,120,30,0.025333333015441894
190,S67,-0.232,-0.836,-0.23,-0.84,-0.23,-1.6,0.76,44,119,30,0.025333333015441894
191,S68,-1.542,-1.296,-1.53,-1.3,-0.38,-1.3,1.16,48,45,30,0.03866666555404663
192,S69,-1.012,-1.446,-1.01,-1.45,-0.37,-1.45,0.64,129,46,30,0.021333332856496176
193,S70,0.378,-0.986,0.38,-0.99,-0.38,-0.99,0.76,39,131,30,0.025333333015441894
194,S71,0.378,-1.146,0.38,-1.15,-0.38,-1.15,0.76,40,130,30,0.025333333015441894
195,S72,-0.382,-1.146,-0.38,-1.15,-1.54,-1.15,1.16,130,133,30,0.03866666555404663
196,S73,-0.382,-0.986,-0.38,-0.99,-1.02,-0.99,0.64,131,53,30,0.021333332856496176
197,S74,-1.802,-1.296,-1.8,-1.29,-1.53,-1.3,0.27,132,48,30,0.00900000035762787
198,S75,-1.542,-1.146,-1.54,-1.15,-1.81,-1.15,0.27,133,50,30,0.00900000035762787
199,S76,-2.112,-0.986,-2.11,-0.99,-2.11,-1.45,0.46,51,117,30,0.015333333611488342
200,S77,-1.952,-1.446,-1.95,-1.45,-1.95,-0.99,0.46,49,134,30,0.015333333611488342
201,S78,-1.952,-0.986,-1.95,-0.99,-1.95,-0.69,0.3,134,76,30,0.010000000397364298
202,S79,-2.112,-0.686,-2.11,-0.69,-2.11,-0.99,0.3,135,51,30,0.010000000397364298
203,S80,0.228,-0.836,0.23,-0.84,0.23,0.3,1.14,136,68,30,0.03799999952316284
204,S81,0.078,-0.836,0.08,-0.84,0.08,0.3,1.14,137,69,30,0.03799999952316284
205,S82,-0.072,0.304,-0.07,0.31,-0.07,-0.84,1.14,138,43,30,0.03799999952316284
206,S83,-0.232,0.304,-0.22,0.3,-0.23,-0.84,1.14,139,44,30,0.03799999952316284
207,S84,0.708,-0.536,0.71,-0.54,0.71,0.3,0.84,140,67,30,0.027999999125798543
208,S85,2.618,-0.836,2.62,-0.84,2.62,-0.21,0.63,141,55,30,0.02099999984105428
209,S86,2.468,-0.836,2.47,-0.84,2.47,-0.2,0.64,142,56,30,0.021333332856496176
210,S87,2.308,-0.206,2.31,-0.2,2.31,-0.85,0.64,143,37,30,0.021333332856496176
211,S88,2.158,-0.206,2.16,-0.21,2.16,-0.85,0.64,144,38,30,0.021333332856496176
212,S89,0.637,0.759,0.71,0.76,1.12,0.76,0.48,145,65,30,0.015999999642372132
213,S90,0.724,0.913,0.73,0.91,1.22,0.91,0.5,146,66,30,0.016666666666666666
214,S91,-0.637,0.759,-0.66,0.76,0.71,0.76,1.35,71,145,30,0.045000000794728594
215,S92,-0.722,0.914,-0.64,0.91,0.73,0.91,1.45,70,146,30,0.04833333492279053
216,S93,2.238,1.064,2.24,1.07,-0.87,1.06,3.11,64,80,30,0.10366666316986084
217,S94,2.238,1.224,2.24,1.22,-0.87,1.22,3.11,63,79,30,0.10366666316986084
218,S95,-0.874,0.762,-0.87,0.76,-0.66,0.76,0.21,147,71,30,0.006999999781449636
219,S96,-0.874,0.913,-0.87,0.91,-0.64,0.91,0.23,148,70,30,0.007666666805744171
